"2023-04-07T11:32:52.157Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:52.259Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:52.383Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:52.393Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-07T11:32:52.486Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:52.527Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:52.619Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:52.701Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:52.803Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:52.927Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:52.978Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:53.059Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:53.161Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:53.254Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:53.367Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:53.397Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-07T11:32:53.418Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:53.520Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:53.644Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:53.726Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:53.777Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:53.879Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:53.960Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:54.052Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:54.135Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:54.237Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:54.318Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:54.389Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-07T11:32:54.421Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:54.502Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:54.636Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:54.688Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:54.822Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:54.914Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:54.997Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:55.090Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:55.142Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:55.224Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:55.316Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:55.398Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:55.408Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-07T11:32:55.501Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:55.583Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:55.685Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:55.756Z","CAR","V2G CurrentDemandReq",""
"2023-04-07T11:32:55.869Z","EVSE","V2G CurrentDemandRes",""
"2023-04-07T11:32:55.982Z","CAR","V2G CurrentDemandReq",""
