"2023-04-04T10:05:37.749Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:37.842Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:37.965Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:38.102Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:38.113Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-04T10:05:38.198Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:38.321Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:38.414Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:38.507Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:38.630Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:38.733Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:38.856Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:38.949Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:39.072Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:39.102Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-04T10:05:39.175Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:39.301Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:39.435Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:39.518Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:39.644Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:39.726Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:39.818Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:39.941Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:40.044Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:40.105Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-04T10:05:40.169Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:40.261Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:40.386Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:40.488Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:40.653Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:40.747Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:40.843Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:40.978Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:41.050Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:41.101Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-04T10:05:41.143Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:41.277Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:41.369Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:41.482Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:41.585Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:41.709Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:41.803Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:41.947Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:42.062Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:42.134Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-04T10:05:42.155Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:42.247Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:42.361Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:42.488Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:42.591Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:42.683Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:42.807Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:42.910Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:43.033Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:43.104Z","EVSE","Isolation measurement P 910000 N 900000.",""
"2023-04-04T10:05:43.126Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:43.260Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:43.384Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:43.469Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:43.571Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:43.707Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:43.778Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:43.914Z","CAR","V2G CurrentDemandReq",""
"2023-04-04T10:05:44.007Z","EVSE","V2G CurrentDemandRes",""
"2023-04-04T10:05:44.099Z","EVSE","Isolation measurement P 910000 N 900000.",""
